target,min,median,max
Adenovirus,3624.9792933193394,720147.3709068054,2596857.597254236
Enterovirus,35300.36383272366,337394.9919460522,867766826.0459772
Influenza A,154.9544868926909,16744.913666750854,1274557.98075167
Measles,Inf,NA,-Inf
Norovirus,13377.645216617086,404366.41723647626,472976593.76757014
RSV,67800.99089112022,9626829.810507791,1137330464.6301956
Rotavirus,47431.45181283194,47431.45181283194,47431.45181283194
SARS-CoV-2,7632.034069746283,404284.7035776737,1305564.037703124
