eh_revised_sample,sample,sample_id,sample_date,adsorbent,extraction,volume_ml,filter_area_cm2,ads_mass_mg,eluent_vol_ml,eluate_vol_ul,lysis_vol_ul,infa_cq,rsv_cq,sars_cq,mev_cq,adv_cq,rv_cq,nv_cq,env_cq
b2_gac_0913,b2_gac_0913,banook2,20220913,gac,sonic_water,,,2500,2.5,,500,0,0,0,0,31.8,0,0,31.5
b2_grab_0913,b2_gr_0913,banook2,20220913,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b1_grab_0913,b1_gr_0913,banook1,20220913,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b1_grab_0920,b1_gr_0920,banook1,20220920,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b2_grab_0920,b2_gr_0920,banook2,20220920,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b2_gac_0920,b2_gac_0920,banook2,20220920,gac,,,,250,,,500,0,0,0,0,31.02,0,0,0
b1_grab_1004,b1_gr_1004,banook1,20221004,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b2_grab_1004,b2_gr_1004,banook2,20221004,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b1_gac_1004,b1_gac_1004,banook1,20221004,gac,,,,250,,,500,0,0,0,0,31.11,34.22,33.29,0
b2_gac_1004,b2_gac_1004,banook2,20221004,gac,,,,250,,,500,33.63,0,0,0,31.04,0,31.22,0
b1_grab_1011,b1_gr_1011,banook1,20221011,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b2_grab_1011,b2_gr_1011,banook2,20221011,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b1_gac_1011,b1_gac_1011,banook1,20221011,gac,camp_bead,,,3000,6,1000,500,22.26,31.41,0,0,31.72,0,34.62,32.84
b2_gac_1011,b2_gac_1011,banook2,20221011,gac,camp_bead,,,3000,6,1000,500,21.3,29.13,23.81,0,0,0,0,0
b1_gac_1018,b1_gac_1018,banook1,20221018,gac,camp_son,,,3000,6,1000,500,0,0,0,0,31.56,0,0,0
b2_gac_1018,b2_gac_1018,banook2,20221018,gac,camp_son,,,3000,6,1000,500,23.92,29.82,0,0,0,0,0,0
b1_grab_1018,b1_gr_1018,banook1,20221018,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b2_grab_1018,b2_gr_1018,banook2,20221018,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b1_grab_1025,b1_gr_1025,banook1,20221025,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b2_grab_1025,b2_gr_1025,banook2,20221025,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b1_gac_1025,b1_gac_1025,banook1,20221025,gac,camp_son,,,3000,6,1000,500,32.55,0,0,0,32.19,0,32.7,0
b2_gac_1025,b2_gac_1025,banook2,20221025,gac,camp_son,,,3000,6,1000,500,0,0,34.09,0,32.42,0,0,0
